id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20985759,Majorstuen - Renovated Rooftop Apartment,151045403,Ole Kristian,,Frogner,59.92572,10.71251,Entire home/apt,795,7,5,2018-12-10,0.29,1,15
20988827,Sentru(SENSITIVE CONTENTS HIDDEN)ær leilighet,127964420,Gry,,Grünerløkka,59.91724,10.75691,Entire home/apt,648,2,20,2019-02-03,1.35,1,20
20994750,Modern apartment in the heart of Oslo,48241659,Michael,,Frogner,59.91387,10.72511,Entire home/apt,1002,3,28,2018-11-19,1.66,1,89
21002646,Trendy and central apartment in St.hanshaugen,151209563,Line,,St. Hanshaugen,59.92528,10.74806,Entire home/apt,501,2,3,2018-07-01,0.18,1,83
21006463,Modern and cozy apartment close to everything!,22573191,Tiril Elise,,St. Hanshaugen,59.92172,10.73726,Entire home/apt,501,2,8,2018-07-13,0.51,1,0
21017643,Comfortable apartment in Grünerløkka,151351189,Sona,,Grünerløkka,59.9264,10.76068,Entire home/apt,579,1,9,2018-09-30,0.54,1,0
21022894,"Rustic, comfortable & spacious apartment",26934012,Jens Biermann,,St. Hanshaugen,59.93131,10.73413,Entire home/apt,803,4,21,2019-01-01,1.36,1,7
21023541,Modern apartment near Ryen metro station,34182392,Victoria,,Østensjø,59.8972,10.809,Entire home/apt,501,2,6,2018-04-01,0.37,1,0
21025452,Modern 1-bedroom apartment in the heart of Oslo,27654202,Mansy,,Frogner,59.92981,10.715,Entire home/apt,553,2,3,2017-12-10,0.19,1,0
21026211,"Modern apartment, Disen, Oslo! Renovated in 2017.",138228181,Christine,,Nordre Aker,59.94129,10.79434,Entire home/apt,898,2,7,2018-08-11,0.43,1,0
21037608,Cosy apartment in central Oslo - Grünerløkka.,45891677,Ingvild,,Grünerløkka,59.92274,10.76918,Entire home/apt,803,1,0,,,1,0
21040092,"Design apt at Tøyen, close to Munch Museum",151548832,Ideas To,,Gamle Oslo,59.911,10.77308,Entire home/apt,803,2,2,2017-10-23,0.12,1,0
21049635,Bright and modern apartment in the heart of Oslo,26318734,Ragna,,Frogner,59.92131,10.7255,Entire home/apt,596,4,1,2017-09-23,0.06,1,0
21055581,"Kiellandsplass, 5etasje, u/heis",150982445,Terje,,St. Hanshaugen,59.92751,10.74972,Shared room,700,1,0,,,1,0
21062074,Sjarmerende leilighet på øvre del av Grünerløkka!,151693804,Trine,,Sagene,59.93498,10.77588,Entire home/apt,501,2,2,2017-11-19,0.13,1,0
21064306,Apartment close to the city center,151778546,Ruth Cecilie,,Gamle Oslo,59.90569,10.77114,Entire home/apt,769,110,3,2018-07-01,0.23,2,36
21072274,REALY central Oslo.,64798541,Anders T.,,Gamle Oslo,59.90839,10.76863,Entire home/apt,1201,1,49,2019-02-15,5.65,1,63
21074137,"Lovely Penthouse in Oslo city , nice terrace",44208188,Gunnar,,Frogner,59.91368,10.72577,Private room,1503,2,5,2018-09-28,0.31,2,0
21076126,"Large Lovely Penthouse, In the heart of Oslo",44208188,Gunnar,,Frogner,59.9152,10.72592,Entire home/apt,1901,2,31,2019-01-27,1.86,2,1
21077161,"Toppleilighet Skøyen, stor terrasse med utsikt",151911436,Lillen,,Ullern,59.9199,10.68157,Entire home/apt,1296,3,7,2018-08-25,0.43,2,0
21084546,Urban and central room at trendy Grünerløkka,19844456,Morten Sebastien,,Grünerløkka,59.92877,10.75699,Private room,596,1,24,2019-02-10,1.53,2,163
21086447,Bright and cozy apartment with excellent location,38564073,Magnus,,Frogner,59.92285,10.70312,Entire home/apt,579,6,7,2017-11-05,0.42,2,0
21087051,Spacious and bright 1-bedroom apartment on Sagene!,152013767,Hedda,,Sagene,59.9363,10.75506,Entire home/apt,596,2,9,2019-01-02,0.66,1,77
21087110,Cosy and central room at Tøyen!,10909767,Ida,,Gamle Oslo,59.91214,10.77519,Private room,302,1,63,2019-01-28,4.04,2,77
21089388,House w/ private garden in beautiful surroundings,36327374,Anne Lise,,Nordre Aker,59.96016,10.77908,Entire home/apt,596,2,4,2018-08-19,0.44,2,77
21090553,Rom til leie i rekkehus på Kjelsås,36327374,Anne Lise,,Nordre Aker,59.95986,10.77823,Private room,147,1,11,2019-01-27,0.66,2,176
21099087,Ny oppusset leilighet midt i Oslo sentrum.,16636346,Anders Vere,,Grünerløkka,59.91708,10.75915,Entire home/apt,501,5,1,2017-09-27,0.06,1,0
21100725,Bright and modern apartment in the centre of Oslo,152143564,Martine,,Sagene,59.93631,10.7536,Shared room,803,2,5,2018-09-27,0.44,1,0
21107879,Door to door with Airport Xpress bus!,146127496,Allison,,Gamle Oslo,59.91404,10.77406,Private room,441,1,53,2018-02-18,3.14,1,0
21114041,"Central, big and beautiful room in a flat.",4720628,Nes,,Sagene,59.93753,10.75281,Private room,752,2,8,2018-06-24,0.50,1,89
21114892,Large and sunny apartment in Bislett,4509287,Jean Michel,,St. Hanshaugen,59.93007,10.73168,Entire home/apt,812,3,15,2018-12-23,0.98,2,12
21116180,Spacious apartment with balcony and great views!,39438671,Tore,,Sagene,59.93893,10.75509,Entire home/apt,1140,5,0,,,1,0
21133936,Cosy and quiet 2-room apartment at Majorstuen,80620489,Christian,,Frogner,59.92681,10.7236,Entire home/apt,501,23,3,2017-11-12,0.18,1,0
21137887,Lys og moderne 2-roms leilighet - mot flott hage,3031057,Niklas,,Sagene,59.93992,10.77663,Entire home/apt,406,4,1,2018-08-29,0.17,1,147
21157875,Classic family friendly villa in Oslo,24454976,Øystein,,Ullern,59.93206,10.63899,Entire home/apt,924,2,3,2018-01-01,0.21,1,0
21159152,"Bright, warm and cosy apt. in the heart of Oslo",6072010,Maren,,Sagene,59.93495,10.76339,Entire home/apt,803,2,6,2018-10-29,0.65,1,139
21160054,Small cozy apartment in central Oslo,5739551,Vaiva,,Gamle Oslo,59.91483,10.77767,Entire home/apt,501,4,6,2018-09-30,0.75,1,0
21166701,One bedroom for rent in central Oslo,44021256,Olene,,Gamle Oslo,59.91566,10.76322,Private room,397,3,0,,,4,1
21166910,Cozy apartment close to city centre,152787877,Thea,,Sagene,59.93982,10.75035,Entire home/apt,484,2,4,2017-10-29,0.24,1,0
21167273,Lys og rolig 2-roms på Grünerløkka,130471660,Maria,,Grünerløkka,59.91896,10.76255,Entire home/apt,553,365,0,,,1,365
21167533,Unique penthouse apartment with extraordinary view,5661890,Siri,,Grünerløkka,59.92589,10.77693,Entire home/apt,544,1,0,,,1,0
21167806,Lyst og hyggelig rom i leilighet,140913826,Espen Guldahl,,Nordstrand,59.90071,10.80615,Private room,371,1,0,,,1,0
21168557,Jul og nyttår i Oslo?  10 min. fra sentrum,149953346,Kirsti,,Grünerløkka,59.92698,10.77115,Entire home/apt,950,7,0,,,1,0
21168801,Karenslyst/Skøyen,151911436,Lillen,,Ullern,59.92003,10.67988,Entire home/apt,950,3,1,2018-11-03,0.28,2,75
21170303,"2 bedroom, close to metro",6276251,Mila & Audun,,Østensjø,59.87163,10.84425,Entire home/apt,708,3,5,2019-02-13,0.31,1,32
21174626,"Central, Quiet, Cozy and Relaxing Appartment",23898294,Morgan,,St. Hanshaugen,59.91973,10.73938,Entire home/apt,648,3,13,2019-01-13,0.80,1,0
21180785,24/7 checkin Hostel near Oslo S - Standard Bed A,24186889,Joseph,,Gamle Oslo,59.91287,10.76254,Shared room,302,1,46,2019-01-24,3.36,12,0
21183703,24/7 checkin Hostel near Oslo S - Standard Bed A,24186889,Joseph,,Gamle Oslo,59.91258,10.7625,Shared room,302,1,63,2019-02-02,3.90,12,5
21183733,24/7 checkin Hostel near Oslo S - Standard bed,24186889,Joseph,,Gamle Oslo,59.91295,10.76242,Shared room,302,1,87,2019-02-03,5.25,12,16
21183764,24/7 checkin Hostel near Oslo S - Premium Room,24186889,Joseph,,Gamle Oslo,59.91418,10.76349,Shared room,302,1,34,2018-10-14,2.06,12,16
21186679,Spacious penthouse apartment with ideal location,64627922,Lorentz,,Frogner,59.92262,10.72826,Entire home/apt,1201,2,2,2017-11-20,0.13,1,0
21188407,"Toppleilighet med utsikt, Storo/Sandaker",38570401,Hanne,,Sagene,59.9438,10.77477,Private room,397,3,0,,,2,0
21194849,Exquisite apartment close to city centre,153077796,Martine,,Ullern,59.92826,10.68307,Entire home/apt,1002,1,1,2018-06-30,0.13,1,0
21201260,"Large and modern, perfect for longer stays",120524034,Lars,,Grünerløkka,59.92402,10.77035,Entire home/apt,657,5,2,2017-11-15,0.13,1,0
21207570,Room in architect designed apartment in quiet area,508567,Christian,,Sagene,59.93563,10.76763,Private room,302,1,1,2017-10-22,0.06,2,0
21208701,"Charming apartment, surrounded by green.",2492720,Pål,,Frogner,59.91712,10.70451,Entire home/apt,613,3,7,2018-12-20,0.47,2,149
21209170,Newly refurbished apartment at Grünerløkka,132156744,Gaute,,Grünerløkka,59.92433,10.7652,Entire home/apt,700,2,23,2018-05-14,1.42,1,0
21209923,Lys og moderne leilighet med nærhet til alt,83766331,Herman,,Sagene,59.94264,10.76925,Entire home/apt,518,3,6,2018-07-22,0.37,1,0
21210691,Cosy parkside apartment in Grünerløkka,26039548,Henrik,,Grünerløkka,59.92413,10.76561,Entire home/apt,803,2,26,2019-02-10,2.93,1,0
21213825,Spacious apartment in quite street at Grunerløkka,3370747,Linda,,Grünerløkka,59.92678,10.75854,Entire home/apt,898,1,0,,,1,0
21214119,"Room in a cozy apartment, close to tube/subway st.",85700153,Elin,,Østensjø,59.89371,10.83953,Private room,199,1,36,2018-10-21,2.23,2,24
21214343,2 roms leilighet 15 min fra sentrum,153266731,André,,Marka,59.83471,10.85054,Entire home/apt,251,1,2,2017-10-30,0.13,1,0
21214736,Huge 3-bedroom apt in Central Oslo,14086369,Kristian,,St. Hanshaugen,59.93171,10.73951,Entire home/apt,501,2,1,2017-10-07,0.06,1,0
21215354,The best flat to stay in Oslo centre,46543829,Luo,,Sentrum,59.90911,10.74602,Entire home/apt,743,2,100,2019-02-11,6.45,1,21
21221832,Super Central & Quiet Apt Behind the Royal Palace♛,36601548,Johannes,,Frogner,59.92374,10.72598,Entire home/apt,449,2,84,2019-02-11,5.13,1,126
21226853,Beautiful and grand apartment at Bislet,19740913,Frida,,St. Hanshaugen,59.92948,10.73295,Entire home/apt,864,4,1,2017-10-09,0.06,1,0
21230671,Koselig og sentral leilighet,6036626,Arne,,Gamle Oslo,59.91242,10.77949,Entire home/apt,432,3,17,2018-11-19,1.05,1,0
21234818,Nyoppusset leilighet på Tøyen,35992026,Linn,,Gamle Oslo,59.91454,10.76969,Entire home/apt,501,4,10,2019-01-01,0.60,1,22
21235149,Nydelig leilighet,39376373,Lamin,,Gamle Oslo,59.90225,10.75467,Private room,1201,1,1,2017-12-11,0.07,1,0
21236136,LOVELY apartment by the Botanical garden,24627301,Jo Adrian,,Grünerløkka,59.91902,10.76527,Entire home/apt,596,3,1,2017-12-26,0.07,1,0
21237087,Loekkeveien 9,7682878,Anas,,Frogner,59.91446,10.72366,Private room,302,2,0,,,1,0
21245932,Nice apartment at St. Hanshaugen in Oslo,153582496,Lena,,St. Hanshaugen,59.93075,10.74855,Entire home/apt,752,2,38,2019-01-13,2.56,1,133
21245981,Oslo West Frogner Bygdøy Alle Studio 5 floor,67687750,Petter,,Frogner,59.91872,10.7011,Entire home/apt,639,3,5,2018-10-02,0.37,1,353
21246005,One bedroom in Grunerløkka,44021256,Olene,,Grünerløkka,59.92154,10.75804,Private room,484,3,0,,,4,0
21247564,Light and airy in the center of Oslo!,153348895,Vilde,,Gamle Oslo,59.91209,10.77587,Entire home/apt,423,2,21,2018-01-20,1.28,1,0
21249301,Cozy and modern apartment in central Oslo,104884803,Helmer,,Gamle Oslo,59.91287,10.76643,Entire home/apt,432,1,10,2018-10-08,0.65,1,0
21252019,Enchanting apartment very close to city center!,81866442,Susannah,,Grünerløkka,59.92269,10.7709,Entire home/apt,691,1,2,2017-11-11,0.13,2,0
21254970,Super central room,79559243,Miro,,St. Hanshaugen,59.916,10.75405,Private room,397,1,26,2018-11-15,1.59,2,0
21257474,1 bedroom apartment on Sørenga/Gamle Oslo,82057504,Linda,,Gamle Oslo,59.90302,10.75414,Entire home/apt,570,1,7,2018-05-13,0.43,2,0
21260783,Young Architect Apartment,2091881,Quentin,,Gamle Oslo,59.90692,10.77765,Entire home/apt,449,3,22,2018-11-20,1.39,1,0
21261627,"Central aprt-Oslo, walking distanse to everything",81423797,Karianne,,Frogner,59.91857,10.71373,Entire home/apt,553,2,26,2018-08-27,1.84,1,0
21262717,Super central sunny terrace,22338851,Miriam,,Gamle Oslo,59.91055,10.76538,Private room,397,1,13,2018-11-05,1.46,1,0
21269277,rom i leilighet,94945454,Zhangmengyuan,,Bjerke,59.94018,10.83971,Private room,276,25,3,2018-06-29,0.18,1,364
21270581,Sentral leilighet i Oslo,82864543,Josephine,,Grünerløkka,59.92642,10.76206,Entire home/apt,501,2,1,2018-10-01,0.21,1,0
21270736,"Big, high standard apartment in the center of Oslo",153863611,Espen,,Gamle Oslo,59.91671,10.76674,Entire home/apt,1002,2,2,2018-03-31,0.18,1,0
21272109,Two bedroom available this summer,153874108,Qing,,Grünerløkka,59.93251,10.79942,Private room,302,1,6,2018-08-13,0.80,1,0
21272345,Oslo West; Centrally located near the royal castle,153876368,Liv Toril,,Frogner,59.9182,10.71644,Entire home/apt,579,2,96,2019-02-02,6.91,2,184
21275617,Central apartment with private roof terrace,153821202,Stian,,Gamle Oslo,59.91478,10.77127,Entire home/apt,648,2,13,2018-02-13,0.80,1,0
21276551,Bright and cosy studio in the coolest part of Oslo,37475428,Anne Silje,,Gamle Oslo,59.91217,10.76941,Entire home/apt,596,15,0,,,1,0
21277594,Nice apartment central in Oslo,59307182,Hege Blix,,Frogner,59.92563,10.71965,Entire home/apt,803,2,2,2017-10-30,0.12,1,0
21289706,Hyggelig familieleilighet sentralt i Oslo,151115117,Margrethe Aaby,,St. Hanshaugen,59.92592,10.74735,Entire home/apt,1097,2,44,2019-01-03,2.73,1,113
21293463,Studio apt. in the heart of Oslo,20174310,Jesper,,Sentrum,59.911,10.74518,Entire home/apt,1253,1,21,2018-10-31,1.30,1,88
21294528,Charming apt. in Tøyen near city center,21591104,Anniken Elise,,Gamle Oslo,59.91006,10.77633,Entire home/apt,432,30,12,2018-07-25,0.77,1,0
21305408,"Sentrumsnært, 56 kvm, 4 etg. med balkong",154189192,Sigurd,,Grünerløkka,59.92261,10.77226,Entire home/apt,423,3,16,2018-05-07,1.04,1,0
21306761,Big and cosy apartment in the middle of Oslo,61184068,Lene,,Gamle Oslo,59.91254,10.76321,Entire home/apt,1097,2,6,2018-01-14,0.38,1,0
21310475,Unique home with good vibes and all you need.,50829897,Alvhild,,Sagene,59.94178,10.7731,Entire home/apt,847,14,7,2018-09-16,0.68,1,15
21316717,Architectural masterpiece in the heart of Oslo.,1650744,Martin,,Frogner,59.92388,10.71518,Entire home/apt,2989,2,0,,,1,0
21316817,Whole place - Grünerløkka/Botanical gardens,154289217,Sebastian,,Grünerløkka,59.92136,10.77176,Entire home/apt,475,3,8,2018-09-16,0.74,1,0
21317080,Cozy and bright one-bedroom apartment with balcony,2271225,Ludvig,,Gamle Oslo,59.91326,10.79162,Entire home/apt,596,4,20,2019-01-11,1.31,1,52
21322305,Central apartment with view over Oslo roofs,13259685,Arthur,,Grünerløkka,59.91636,10.75673,Entire home/apt,648,2,0,,,1,0
21323983,Liten leilighet på Bjølsen.,154358333,Tove,,Sagene,59.94545,10.7583,Entire home/apt,501,3,2,2018-08-10,0.19,1,2
21329866,The Conch,154418466,Marthe,,St. Hanshaugen,59.92307,10.74795,Entire home/apt,397,1,21,2018-06-24,1.34,1,0
21330374,New and stylish 2-bdr in trendy Grünerløkka,48749051,Frogner House,,Grünerløkka,59.92575,10.75668,Entire home/apt,1296,2,64,2019-02-09,4.47,11,175
21330911,Modern and spacefull apartment in heart of Oslo,154225458,Elizabeth,,St. Hanshaugen,59.92412,10.74673,Entire home/apt,838,3,0,,,2,0
21352977,Curated apartment at Fagerborg,3604093,Erika,,St. Hanshaugen,59.93275,10.72618,Entire home/apt,1201,2,0,,,1,0
21360134,Tjuvholmen alle,64605079,Tjuvholmen Alle,,Frogner,59.90655,10.72095,Entire home/apt,1702,1,1,2017-10-20,0.06,1,0
21361510,Central and cosy apartment,25501460,Per,,St. Hanshaugen,59.92805,10.73116,Entire home/apt,950,2,3,2018-06-08,0.19,1,90
21361527,Central Private Room.  Modern appartment in Oslo,48461774,Pablo,,Grünerløkka,59.92064,10.76375,Private room,510,1,27,2018-09-18,1.68,2,20
