,id,name,price,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,guests_included,availability_365,neighbourhood,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,latitude,longitude,review_scores_value,bed_type,room_type,cancellation_policy,property_type
60,688740,Sleep next door to Munch museum and Øya festivalen,553.0,4,1.0,1.0,4.0,2000.0,500.0,3,0.0,5,60,3,0,Gamle Oslo,1,100.0,10.0,10.0,10.0,10.0,59.91449,10.77422,10.0,Real Bed,Entire home/apt,flexible,Apartment
61,689773,Room in big apt w/view -near City,4389.0,2,1.0,1.0,1.0,1757.0,98.0,2,146.0,68,68,2,322,Grünerløkka,27,99.0,10.0,10.0,10.0,9.0,59.96821,10.64976,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
62,707856,Great flat close to central station,674.0,4,1.0,1.0,1.0,0.0,200.0,2,200.0,10,1125,2,0,Gamle Oslo,16,99.0,10.0,10.0,10.0,9.0,59.91124,10.76452,10.0,Real Bed,Entire home/apt,moderate,Apartment
63,708213,The Marshmallow-flat / perfect area,959.0,3,1.0,1.0,1.0,0.0,300.0,2,300.0,2,800,2,365,Grünerløkka,36,99.0,10.0,10.0,10.0,10.0,59.927530000000004,10.75742,10.0,Real Bed,Entire home/apt,moderate,Apartment
64,740334,Apartment with kitchenette in Oslo,397.0,6,1.0,1.0,6.0,0.0,0.0,1,200.0,1,20,1,361,Grünerløkka,10,66.0,8.0,7.0,6.0,8.0,59.927640000000004,10.76765,7.0,Real Bed,Private room,flexible,Hostel
65,749061,Nice apartment near Bislett Stadium,847.0,3,1.0,1.0,1.0,0.0,0.0,1,0.0,2,1125,1,0,St. Hanshaugen,8,95.0,10.0,10.0,10.0,10.0,59.92146999999999,10.7358,9.0,Real Bed,Entire home/apt,flexible,Apartment
66,756015,Charming & peaceful 2-rooms w/balc,847.0,2,1.0,1.0,1.0,0.0,0.0,2,0.0,3,1125,2,0,Frogner,3,93.0,10.0,10.0,9.0,10.0,59.91033,10.70787,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
67,758848,Central and Stylish apt by the sea!,1071.0,2,1.0,1.0,1.0,1952.0,0.0,1,0.0,2,1125,1,310,Gamle Oslo,164,90.0,9.0,9.0,9.0,10.0,59.903980000000004,10.756160000000001,9.0,Real Bed,Entire home/apt,moderate,Apartment
68,760266,Very central room with  2 bikes,501.0,2,1.0,1.0,2.0,0.0,0.0,1,100.0,2,3,1,51,Gamle Oslo,543,92.0,10.0,10.0,10.0,10.0,59.912490000000005,10.75917,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
69,760572,Studio next to park in Oslo centre,803.0,3,1.0,1.0,1.0,1500.0,200.0,2,200.0,2,30,2,35,St. Hanshaugen,35,94.0,9.0,10.0,10.0,9.0,59.92569,10.74516,9.0,Real Bed,Entire home/apt,moderate,Apartment
70,761018,Lovely bedroom in beautiful area.,363.0,2,1.0,1.0,1.0,0.0,146.0,1,107.0,1,5,1,275,Frogner,713,97.0,10.0,10.0,10.0,10.0,59.918209999999995,10.71379,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
71,762160,Fresh and comfortable Grünerløkka,1296.0,2,1.0,1.0,1.0,0.0,0.0,1,0.0,1,1125,1,0,Grünerløkka,1,100.0,10.0,10.0,10.0,10.0,59.92561,10.75912,10.0,Real Bed,Entire home/apt,flexible,Apartment
72,768359,AFFORDABLE+CENTRAL+EMBASSY AREA,596.0,2,1.0,2.0,2.0,0.0,0.0,2,0.0,7,14,2,0,Frogner,2,100.0,9.0,10.0,10.0,10.0,59.919630000000005,10.7004,10.0,Real Bed,Entire home/apt,moderate,Apartment
73,770824,Summer holiday in Oslo?,691.0,2,1.0,1.0,2.0,0.0,100.0,2,150.0,2,30,2,0,Grünerløkka,27,97.0,10.0,10.0,9.0,10.0,59.91695,10.74858,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
74,773722,Oslo City Apt in the heart of Oslo,2436.0,9,1.0,4.0,7.0,0.0,390.0,4,293.0,1,365,4,347,Gamle Oslo,26,94.0,9.0,10.0,10.0,10.0,59.9126,10.765310000000001,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
75,773750,Big 3 bed apt,4881.0,4,1.0,2.0,2.0,0.0,0.0,2,146.0,68,68,2,365,Grünerløkka,9,100.0,10.0,10.0,10.0,10.0,59.96925,10.64883,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
76,781090,Oslo sentrum greate apartment,847.0,3,1.0,1.0,1.0,0.0,400.0,1,100.0,7,21,1,365,Gamle Oslo,2,100.0,10.0,10.0,10.0,10.0,59.90738,10.77459,10.0,Real Bed,Entire home/apt,moderate,Apartment
77,789864,"""Heart of Oslo"" by the Opera House.",717.0,2,1.0,1.0,1.0,1500.0,1500.0,1,100.0,30,720,1,318,Gamle Oslo,20,94.0,9.0,9.0,10.0,10.0,59.907180000000004,10.758989999999999,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
78,794891,"Nice central apartment,good value!",596.0,3,1.0,2.0,2.0,1500.0,250.0,2,0.0,4,14,2,0,Majorstuen,2,90.0,9.0,9.0,9.0,10.0,59.91874,10.71767,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
79,815759,Attractiv apt in central Oslo!,501.0,2,1.0,1.0,1.0,1500.0,350.0,1,300.0,2,30,1,363,Frogner,1,100.0,10.0,10.0,10.0,10.0,59.91698,10.70767,8.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
80,823423,Brm @ scenic apt. in Holmenkollen,389.0,2,1.0,1.0,1.0,0.0,0.0,1,150.0,3,180,1,0,Grünerløkka,19,92.0,8.0,10.0,10.0,9.0,59.95339,10.667119999999999,9.0,Real Bed,Private room,moderate,Apartment
81,823578,Bright apt. close to bus/ tram !,518.0,4,1.5,1.0,2.0,0.0,216.0,2,86.0,2,1125,2,76,Sagene,9,87.0,8.0,9.0,9.0,10.0,59.93565,10.76562,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
82,865338,Cosy and quiet room in  central in Embassy Area,397.0,1,1.0,1.0,1.0,1000.0,250.0,1,0.0,4,180,1,322,Frogner,11,94.0,9.0,10.0,10.0,10.0,59.917840000000005,10.69488,10.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
83,869173,Bright 70 m2 flat with a great view,959.0,2,1.0,1.0,1.0,0.0,500.0,2,300.0,1,1125,2,362,St. Hanshaugen,5,95.0,10.0,10.0,10.0,9.0,59.9218,10.7468,10.0,Real Bed,Entire home/apt,moderate,Apartment
84,896093,Sunny home in the heart of Oslo,562.0,1,1.0,1.0,1.0,5000.0,590.0,1,0.0,7,120,1,206,St. Hanshaugen,10,96.0,10.0,10.0,10.0,10.0,59.921780000000005,10.737960000000001,9.0,Real Bed,Entire home/apt,moderate,Apartment
85,917797,Luxurious 2 Bedroom in Oslo's Finest Location,1097.0,5,1.0,2.0,5.0,2306.0,461.0,2,0.0,7,1125,2,220,Majorstuen,2,100.0,10.0,10.0,10.0,10.0,59.9236,10.706489999999999,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Condominium
86,921279,"CENTRAL, IDYLLIC, BRIGHT 1 BRM APT",587.0,3,1.0,1.0,1.0,1464.0,0.0,2,146.0,14,150,2,125,St. Hanshaugen,76,96.0,10.0,10.0,10.0,10.0,59.92531999999999,10.73752,10.0,Real Bed,Entire home/apt,moderate,Apartment
87,927847,Fresh CONDO with 2 comfy doublebeds near OPERA,1495.0,4,1.0,2.0,3.0,864.0,406.0,4,147.0,2,30,4,29,Gamle Oslo,32,93.0,9.0,10.0,10.0,9.0,59.9027,10.75527,9.0,Real Bed,Entire home/apt,moderate,Apartment
88,935011,Apartment in the center of Oslo!,898.0,3,1.0,2.0,2.0,0.0,0.0,1,0.0,4,60,1,96,Gamle Oslo,18,100.0,10.0,10.0,10.0,10.0,59.91644,10.76443,10.0,Real Bed,Entire home/apt,flexible,Apartment
89,960057,Central & high standard by Opera!,1503.0,5,1.0,2.0,2.0,0.0,700.0,2,100.0,3,90,2,270,Gamle Oslo,34,90.0,9.0,10.0,10.0,9.0,59.90361,10.75615,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
90,961008,Balcony and view in central Oslo,648.0,2,1.0,1.0,1.0,0.0,0.0,1,0.0,4,30,1,16,Gamle Oslo,9,100.0,10.0,9.0,10.0,9.0,59.91463,10.78159,9.0,Real Bed,Entire home/apt,moderate,Apartment
91,968437,Bright and modern in Grünerløkka!,847.0,4,1.0,1.0,1.0,0.0,150.0,1,150.0,3,365,1,306,Grünerløkka,23,98.0,10.0,10.0,10.0,10.0,59.92406999999999,10.75596,10.0,Real Bed,Entire home/apt,moderate,Apartment
92,970425,"Lys og moderne, sentral",1210.0,2,1.0,1.0,1.0,0.0,0.0,1,0.0,3,14,1,0,Grünerløkka,1,86.0,6.0,10.0,10.0,10.0,59.9314,10.77614,8.0,Real Bed,Entire home/apt,moderate,Apartment
93,971063,Sunny & central design apartment,397.0,2,1.0,1.0,1.0,3000.0,700.0,1,300.0,1,45,1,215,St. Hanshaugen,29,97.0,10.0,10.0,10.0,10.0,59.926359999999995,10.74796,9.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
94,977648,SEAFRONT MODERN LUXURY IN OSLO!,1175.0,2,1.0,1.0,0.0,0.0,634.0,1,0.0,2,1125,1,287,Sentrum,144,97.0,10.0,10.0,10.0,10.0,59.90583,10.718210000000001,10.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
95,981888,Beautiful room located at Majorstua,492.0,2,1.0,1.0,1.0,8000.0,300.0,1,250.0,2,1125,1,365,Majorstuen,7,90.0,8.0,10.0,10.0,10.0,59.93339,10.71533,9.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
96,1000801,Cheap & cheerful flat ,553.0,4,1.0,2.0,3.0,3000.0,350.0,2,160.0,30,120,2,0,Nordstrand,34,94.0,9.0,9.0,10.0,9.0,59.88605,10.80395,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
97,1010214,Private spacious room in Grunnerløkka!,631.0,2,1.0,1.0,1.0,1952.0,146.0,1,195.0,3,1120,1,364,Grünerløkka,68,97.0,9.0,10.0,10.0,10.0,59.91949,10.76032,9.0,Real Bed,Private room,strict_14_with_grace_period,Apartment
98,1036219,Oslo City Center - ENTIRE APARTMENT,1348.0,6,1.0,2.0,3.0,0.0,400.0,2,150.0,1,28,2,302,Grünerløkka,26,96.0,9.0,10.0,10.0,10.0,59.91729,10.748510000000001,9.0,Real Bed,Entire home/apt,strict_14_with_grace_period,Apartment
